,coral,Bio,BioNoCoral,nCor,nBio,ClassLv4,Algae,Seagrass
Acropora cervicornis,0.7,0.7,0,0,0,Acropora cervicornis,0,0
Aggregate Reef,0.324808392,0.605635838,0.280827446,0,0,Aggregate Reef,0.280827446,0
Aggregate Reef (Inner),0.324808392,0.605635838,0.280827446,0,0,Aggregate Reef (Inner),0.280827446,0
Aggregate Reef (Middle),0.324808392,0.605635838,0.280827446,0,0,Aggregate Reef (Middle),0.280827446,0
Aggregate Reef (Outer),0.324808392,0.605635838,0.280827446,0,0,Aggregate Reef (Outer),0.280827446,0
"Aggregate Reef, Algae (Continuous)",0.096296296,0.95,0.853703704,27,28,"Aggregate Reef, Algae (Continuous)",0.853703704,0
"Aggregate Reef, Algae (Discontinuous)",0.227745665,0.683815029,0.456069364,173,173,"Aggregate Reef, Algae (Discontinuous)",0.456069364,0
"Aggregate Reef, Algae (Patchy)",0,0.7,0.7,0,3,"Aggregate Reef, Algae (Patchy)",0.7,0
"Aggregate Reef, Live Coral (Discontinuous)",0.3,0.3,0,1,1,"Aggregate Reef, Live Coral (Discontinuous)",0,0
"Aggregate Reef, Live Coral (Patchy)",0.7,0.7,0,100,100,"Aggregate Reef, Live Coral (Patchy)",0,0
"Aggregate Reef, Live Coral (Sparse)",0.3,0.3,0,18,18,"Aggregate Reef, Live Coral (Sparse)",0,0
"Aggregate Reef, Uncolonized",0,0,0,0,0,"Aggregate Reef, Uncolonized",0,0
Aggregated Patch Reef,0.286097561,0.694536585,0.408439024,0,0,Aggregated Patch Reef,0.408439024,0
Aggregated Patch Reef (Deep),0.286097561,0.694536585,0.408439024,0,0,Aggregated Patch Reef (Deep),0.408439024,0
Aggregated Patch Reef (Shallow),0.286097561,0.694536585,0.408439024,0,0,Aggregated Patch Reef (Shallow),0.408439024,0
"Aggregated Patch Reef, Algae (Discontinuous)",0.286097561,0.694536585,0.408439024,1025,1025,"Aggregated Patch Reef, Algae (Discontinuous)",0.408439024,0
Artificial,0,0,0,0,0,Artificial,0,0
Artificial Bridge,0,0,0,0,0,Artificial Bridge,0,0
Artificial Land,0,0,0,0,0,Artificial Land,0,0
Artificial Pier,0,0,0,0,0,Artificial Pier,0,0
Colonized Pavement,0.129152057,0.597325516,0.468173459,0,0,Colonized Pavement,0.468173459,0
Colonized Pavement (Deep),0.129152057,0.597325516,0.468173459,0,0,Colonized Pavement (Deep),0.468173459,0
Colonized Pavement (Shallow),0.129152057,0.597325516,0.468173459,0,0,Colonized Pavement (Shallow),0.468173459,0
"Colonized Pavement, Algae",0.072577973,0.631851177,0.559273204,0,0,"Colonized Pavement, Algae",0.559273204,0
"Colonized Pavement, Live Coral",0.433333333,0.433333333,0,0,0,"Colonized Pavement, Live Coral",0,0
"Colonized Pavement, Live Coral (Discontinuous)",0.3,0.3,0,65,65,"Colonized Pavement, Live Coral (Discontinuous)",0,0
"Colonized Pavement, Live Coral (Patchy)",0.7,0.7,0,81,81,"Colonized Pavement, Live Coral (Patchy)",0,0
"Colonized Pavement, Live Coral (Sparse)",0.3,0.3,0,228,228,"Colonized Pavement, Live Coral (Sparse)",0,0
Pavement,0.129152057,0.597325516,0.468173459,0,0,Pavement,0.468173459,0
Pavement with Sand Channels,0.272222222,0.825,0.552777778,0,0,Pavement with Sand Channels,0.552777778,0
"Pavement with Sand Channels, Algae (Continuous)",0.3,0.95,0.65,15,15,"Pavement with Sand Channels, Algae (Continuous)",0.65,0
"Pavement with Sand Channels, Algae (Discontinuous)",0.244444444,0.7,0.455555556,27,27,"Pavement with Sand Channels, Algae (Discontinuous)",0.455555556,0
Pavement with Seagrass,0.110519046,0.634456749,0.523937703,0,0,Pavement with Seagrass,0,0.523937703
Pavement with Seagrass (Continuous),0.115789474,0.95,0.834210526,19,23,Pavement with Seagrass (Continuous),0,0.834210526
"Pavement with Seagrass (Continuous), Bank",0.115789474,0.95,0.834210526,0,0,"Pavement with Seagrass (Continuous), Bank",0,0.834210526
Pavement with Seagrass (Discontinuous),0.105248619,0.562295082,0.457046463,181,183,Pavement with Seagrass (Discontinuous),0,0.457046463
"Pavement with Seagrass (Discontinuous), Bank",0.105248619,0.562295082,0.457046463,0,0,"Pavement with Seagrass (Discontinuous), Bank",0,0.457046463
Pavement with Seagrass (Patchy),0,0.7,0.7,0,52,Pavement with Seagrass (Patchy),0,0.7
Pavement with Seagrass (Sparse),0,0.325531915,0.325531915,0,47,Pavement with Seagrass (Sparse),0,0.325531915
"Pavement, Algae (Continuous)",0.059668508,0.95,0.890331492,181,188,"Pavement, Algae (Continuous)",0.890331492,0
"Pavement, Algae (Discontinuous)",0.10806541,0.596452328,0.488386918,1804,1804,"Pavement, Algae (Discontinuous)",0.488386918,0
"Pavement, Algae (Patchy)",0.05,0.680952381,0.630952381,5,63,"Pavement, Algae (Patchy)",0.630952381,0
"Pavement, Algae (Sparse)",0,0.3,0.3,0,46,"Pavement, Algae (Sparse)",0.3,0
"Pavement, Live Coral (Infrequent, <10%)",0.05,0.05,0,1,1,"Pavement, Live Coral (Infrequent, <10%)",0,0
"Pavement, Turf Algae (Patchy)",0,0.7,0.7,0,4,"Pavement, Turf Algae (Patchy)",0.7,0
"Pavement, Turf Algae (Sparse)",0,0.3,0.3,0,2,"Pavement, Turf Algae (Sparse)",0.3,0
"Colonized Reef Rubble, Live Coral (Sparse)",0.3,0.3,0,2,2,"Colonized Reef Rubble, Live Coral (Sparse)",0,0
Individual Patch Reef,0.431397048,0.49995616,0.068559112,0,0,Individual Patch Reef,0.068559112,0
"Individual or Aggregated Patch Reef, Algae (Patchy)",0,0.7,0.7,0,0,"Individual or Aggregated Patch Reef, Algae (Patchy)",0.7,0
"Individual or Aggregated Patch Reef, Algae (Sparse)",0,0.3,0.3,0,3,"Individual or Aggregated Patch Reef, Algae (Sparse)",0.3,0
"Individual or Aggregated Patch Reef, Live Coral (Patchy)",0.7,0.7,0,134,134,"Individual or Aggregated Patch Reef, Live Coral (Patchy)",0,0
"Individual or Aggregated Patch Reef, Live Coral (Sparse)",0.3,0.3,0,25,25,"Individual or Aggregated Patch Reef, Live Coral (Sparse)",0,0
